UUID,TC,IMPORTE,IVA,RET ISR,RET IVA,TOTAL MX,TOTAL SAT
1F3FF8C3-EC2B-4E6E-B466-07FD8F36DD18,1.0,1172.47,187.59,0.0,0.0,1360.06,1360.06
E78AFAB3-883B-4AC0-81A4-D538E1729AC2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
274BFCA7-C574-44C8-8F33-23FD2F23DBE2,1.0,3528.0,564.48,0.0,0.0,4092.48,4092.48
9A064DE9-720D-4B51-A04B-200ED80AC286,1.0,3870.0,619.2,0.0,0.0,4489.2,4489.2
9726AD3D-EE05-4476-AB30-A369EFCE18E4,1.0,218.72,42.6,0.0,0.0,261.32,261.32
3302207C-5260-4FD5-8D9C-62C69AFE6B6F,1.0,6600.0,1056.0,0.0,0.0,7656.0,7656.0
3CA41782-684F-47CF-9934-3BC4D6D6C21D,1.0,1165.5,186.48,0.0,0.0,1351.98,1351.98
7E867556-55F9-41BB-9A24-0615B6FFC1A8,1.0,0.0,0.0,0.0,0.0,0.0,0.0
95061D6A-C666-4AE0-8CC4-4BF2C0D125CA,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5DAADC3E-B6E4-4E1A-9828-C69F94F55E43,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15A4092E-56AB-11EB-8275-00155D014007,1.0,360.0,57.6,0.0,0.0,417.6,417.6
2AA3CBD8-540C-439E-B725-2CC83C14B2E1,1.0,7500.0,1200.0,0.0,0.0,8700.0,8700.0
021ED414-6142-4D68-A22A-CB51B1D6A5E7,1.0,3888.0,622.08,0.0,0.0,4510.08,4510.08
52823DA7-5DCE-4FAD-9731-1C9B94128900,1.0,1275.0,204.0,0.0,0.0,1479.0,1479.0
448C2416-8EE6-4B9B-A95E-819E0E2B1634,1.0,2942.87,470.86,0.0,0.0,3403.05,3403.05
DCCF1967-D265-41CD-979D-981B1E4ECB25,1.0,68.04,10.88,0.0,0.0,78.92,78.92
839EA73D-5BD3-4706-A4E2-EA72B58C8F21,1.0,0.0,0.0,0.0,0.0,0.0,0.0
74B40CED-5AD3-4969-9F46-F5F099055090,1.0,0.0,0.0,0.0,0.0,0.0,0.0
697DE6E3-1191-4C6A-8F2B-73FC4DBD3EFC,1.0,0.0,0.0,0.0,0.0,0.0,0.0
28EE2F94-72CC-47DB-B74B-7B92C6E372B7,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5EA1495E-9714-42E8-B5C6-793993C369D5,1.0,2000.0,320.0,0.0,0.0,2320.0,2320.0
845A2083-6939-44E1-A850-4A0A0658F6E1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
63620533-14B9-4368-84F6-A96591C73308,1.0,687.0,109.92,0.0,0.0,796.92,796.92
44466405-5786-11EB-8275-00155D014007,1.0,5550.0,888.0,0.0,0.0,6438.0,6438.0
CC3B898F-BE6B-4BEB-9CE5-DD75891366B9,1.0,0.0,0.0,0.0,0.0,0.0,0.0
DB61C462-AE21-44CB-B5C9-C9FCFFD9B123,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7E9EB129-F936-4F9E-9663-99A0337F4ABB,1.0,29.05,4.65,0.0,0.0,33.7,33.7
AA49316A-636C-40B6-8177-0FCC27A8ED3A,1.0,1594.83,255.17,0.0,0.0,1850.0,1850.0
3EC56F5F-967A-4856-8CEC-303FC14E7C21,1.0,74.0,0.0,0.0,0.0,74.0,74.0
A3962EA8-8070-4F28-87B0-574FCA75DFDF,1.0,4000.0,640.0,0.0,0.0,4640.0,4640.0
A5ED9088-5A72-4C3F-9E1D-8CF005838E9C,1.0,6120.0,979.2,0.0,0.0,7099.2,7099.2
F6F04256-9A5A-4E49-9F44-A87F3292F56A,1.0,170.17,27.23,0.0,0.0,197.39999999999998,197.4
5EE3EF21-484E-4784-AEE0-9AA6A64D8EEC,1.0,3800.0,608.0,0.0,0.0,4408.0,4408.0
4BA7A4B2-A150-48DF-AE1D-0E5B4929FC86,1.0,408.5,65.36,0.0,0.0,473.86,473.86
1543C6D2-2F4C-4BDF-A4D7-AC5334F6B6B5,1.0,1780.0,284.8,0.0,0.0,2064.8,2064.8
FAB0B55B-B3DD-4781-8011-518012E3689D,1.0,5148.3,823.72,0.0,0.0,5972.02,5972.02
C80A6C9B-629B-4C3D-9883-6B4B19323CEA,1.0,298.32,47.73,0.0,0.0,346.05,346.05
FA88A67C-F5CB-4DDB-BB00-50362A96258D,1.0,500.0,80.0,0.0,0.0,580.0,580.0
76E305E1-C260-4A7A-AF46-18F887A458FE,1.0,0.0,0.0,0.0,0.0,0.0,0.0
90BCF944-210B-4E38-B1A1-7FBF03C08CE2,1.0,4.14,0.66,0.0,0.0,4.8,4.8
70C7FB8D-4F2A-4C87-B13B-D7271554EDD2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
FC967C65-59B7-11EB-923C-00155D014009,1.0,7587.75,1214.04,0.0,0.0,8801.79,8801.78
0E3A3210-BA63-409A-A3E1-968BCE7B1940,1.0,1971.5,315.44,0.0,0.0,2286.94,2286.94
930DE773-5F28-4207-9433-6E74A5903ED9,1.0,1223.1,195.7,0.0,0.0,1418.8,1418.8
8CD3DC9F-5EF6-4A8B-8D2B-9C74F4234E4D,1.0,100.0,16.0,0.0,0.0,116.0,116.0
27C1C2CB-2175-4707-B6E5-821086503191,1.0,74.57,11.93,0.0,0.0,86.5,86.5
61F336A5-4DC2-4C0A-BEBA-2BDD3DDE15F2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
71EAB895-115C-4CB3-BDB6-06F1BDFDD6E6,1.0,870.0,139.2,0.0,0.0,1009.2,1009.2
FBE85A0C-D0F2-46AB-B960-64A65B966502,1.0,432.84,67.16,0.0,0.0,500.0,500.0
F1F08FAE-73D5-8446-858C-D6F00850E5DA,1.0,0.0,0.0,0.0,0.0,0.0,0.0
C4F79153-C3FF-49FA-8604-08BF78B76F01,1.0,319.38,51.1,0.0,0.0,370.48,370.48
FB47724A-9D40-48BA-A53A-C3DB84D457FB,1.0,240.0,38.4,0.0,0.0,278.4,278.4
52E9FDCA-ABD1-445B-A42B-C2EA420A8443,1.0,512.0,81.92,0.0,0.0,593.92,593.92
5D517A78-D852-4D1D-9027-193A25B7DF8B,1.0,117.83,18.86,0.0,0.0,133.45,133.45
24C85A47-2D37-2145-BC8A-F31965F032A1,1.0,120.0,19.2,0.0,0.0,139.2,139.2
1B626AB8-4CD1-4458-9C24-302C7F6DE390,1.0,0.0,0.0,0.0,0.0,0.0,0.0
FCB0B629-E456-4836-B945-42B480D38AF8,1.0,0.0,0.0,0.0,0.0,0.0,0.0
277AA1A0-FCC7-4DD7-9956-DF3FF0283801,1.0,5521.6,883.46,0.0,0.0,6405.06,6405.06
9E53A269-7B1F-45F8-B681-AA8D10F62865,1.0,215.52,34.48,0.0,0.0,250.0,250.0
C8320ECB-D861-41DA-BB71-5C54B185C888,1.0,1724.79,275.97,0.0,0.0,2000.76,2000.76
F4669DA3-BAC2-4E01-BE2E-1FF708FCFCD3,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8B5F9CB1-5400-4524-AD29-65098DE6302D,1.0,1825.0,292.0,0.0,0.0,2117.0,2117.0
F8D65FC6-A14B-934C-B750-1F1C35F8522A,1.0,412.16,65.95,0.0,0.0,478.11,478.11
C03644C5-693B-4455-ACDA-B9C6D9BC022D,1.0,324.0,51.84,0.0,0.0,375.84000000000003,375.84
DDEAC1DC-964C-4A5F-B4F0-B674E4BE9300,1.0,1419.69,227.14,0.0,0.0,1646.83,1646.83
46B074BF-D0A4-4DC2-B89F-A369EFCE510D,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8AECFCDA-22DD-4C8D-9338-A369EFCE0824,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0F83FF84-639F-46C4-8143-FA383F5B2159,1.0,1205.0,192.8,0.0,0.0,1397.8,1397.8
364EA28C-1381-43DB-8AB4-BCBB19DE7519,1.0,9057.44,0.0,0.0,0.0,9963.18,9963.18
A7845591-A3CA-432D-B73E-A26B262B4DCE,1.0,493.92,79.03,0.0,0.0,572.95,572.95
3CE672A1-75FA-4AB2-B4B9-81BA4ABBEF51,1.0,0.0,0.0,0.0,0.0,0.0,0.0
03542AD7-D81B-47B5-BE23-9DF9D1B6EC31,1.0,4125.7,660.11,0.0,0.0,4785.8099999999995,4785.81
07DECE35-A1F6-42D4-A553-EABB05594B50,1.0,2870.99,459.36,0.0,0.0,3287.46,3287.46
ACD6D503-5C16-4F36-B61C-BB4827F71F8F,1.0,173.11,26.89,0.0,0.0,200.0,200.0
80D77425-B507-4654-967C-9AEC05CDF58F,1.0,64.59,10.33,0.0,0.0,74.92,74.92
42F87733-34AE-4444-A621-D0E29AC4E4E9,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4B99B01C-62DF-46DD-B4A7-BFF1D2DBEACA,1.0,1247.8,199.65,0.0,0.0,1447.45,1447.45
1FD09F0F-9735-41EC-8998-CC7540ED82D0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
B154D19A-6240-4238-BB01-1814622A641B,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25C59A8F-0553-F343-B98C-867CD70DCBAD,1.0,1037.0,0.0,0.0,0.0,1037.0,1037.0
C3ED1058-5CF8-11EB-AD8C-00155D014007,1.0,4002.0,640.32,0.0,0.0,4642.32,4642.32
CBFAC020-5939-43AC-91AF-2A6FA9578396,1.0,217.75,34.84,0.0,0.0,252.59,252.59
928D938C-C210-43C6-85B7-01C02CD589EA,1.0,97.52,15.61,0.0,0.0,113.13,113.13
B9A4E0D5-8761-4F57-A64A-E7E2FD000C27,1.0,3416.04,546.57,0.0,0.0,3962.61,3962.61
F9A6EEF7-131E-4B55-A1D5-3E9A74148D8F,1.0,1690.0,270.4,0.0,0.0,1960.4,1960.4
E0D0431E-7D3B-4F9B-936C-B2BBAC03B7E3,1.0,7758.62,1241.38,0.0,0.0,9000.0,9000.0
30A7C024-D4C3-4FC8-8449-A369EFCE772F,1.0,336.9,62.09,0.0,0.0,398.99,398.99
ECB87704-27AD-4514-AA64-24C591B597AC,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2CCFC558-856E-41B4-A9C2-A7F02DA6E1DB,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8D5297EB-2E51-42D0-8052-4FA95F973028,1.0,0.0,0.0,0.0,0.0,0.0,0.0
23533856-2560-4197-96EB-A8C74803EBB3,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9F3FD3A0-8BF6-460D-97D7-D127E9454632,1.0,0.0,0.0,0.0,0.0,0.0,0.0
A36127DA-8FDA-45F5-BC0C-BA1B41BFBE64,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8774F94F-8FA3-49D0-AB06-E681BFDF4570,1.0,0.0,0.0,0.0,0.0,0.0,0.0
62B82466-3A9F-4E94-A7DE-AC593D4A2D7D,1.0,1678.75,268.6,0.0,0.0,1947.35,1947.35
C1502C1E-560F-4C47-A3D5-174501DE4BAC,1.0,851.19,136.19,0.0,0.0,987.3800000000001,987.38
0B70A129-D550-470F-92D9-07A1FEFBFDC2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5801A5C8-BBAD-4C70-9262-759CDA543FCE,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E416DF79-E597-4EF9-9334-E9F2FA2FE23C,1.0,8752.0,0.0,0.0,0.0,10152.32,10152.32
ABB70EFA-D09C-4CF5-8A58-43CA4CA25668,1.0,0.0,0.0,0.0,0.0,0.0,0.0
89441825-C27D-41EF-B9DF-C66BE3EDA366,1.0,0.0,0.0,0.0,0.0,0.0,0.0
92C87381-9021-484F-B8F3-2F0225B28719,1.0,0.0,0.0,0.0,0.0,0.0,0.0
A45F92C1-2780-49D1-B639-D2C5583689C4,1.0,6834.0,1093.44,0.0,0.0,7927.4400000000005,7927.44
5FA1C472-C1D0-421D-A32F-E5AA9F9A68A3,1.0,66.6,10.65,0.0,0.0,77.25,77.25
217A4A50-32C8-404E-BE7C-96A21D6B5285,1.0,2600.0,416.0,0.0,0.0,3016.0,3016.0
7C2DD7E9-3929-49CF-8F48-3BCCB2D40358,1.0,1266.56,202.65,0.0,0.0,1469.21,1469.21
88C8AB7D-9E45-3246-9168-D50F0E6596A7,1.0,1955.0,312.8,0.0,0.0,2267.8,2267.8
DFBD19AB-2248-4C64-ACAA-3B503AA6D4F7,1.0,1342.0,214.72,0.0,0.0,1556.72,1556.72
1CDA28D9-CCA5-4410-B264-58F1FC70C863,1.0,4580.1,360.0,0.0,0.0,4940.1,4940.1
BCB071A7-EC8C-4198-8C92-A7485C3804C1,1.0,765.0,122.4,0.0,0.0,887.4,887.4
FE56582B-78B0-4B1D-8305-F04E637EDE23,1.0,4530.44,724.87,0.0,0.0,5255.3099999999995,5255.31
4AD106AF-4114-4A37-A7D8-CEC4D48A8EE5,1.0,5019.48,803.11,0.0,0.0,5822.589999999999,5822.59
8849D81E-78A6-4939-B9D2-AD05C4653F4B,1.0,1200.0,192.0,0.0,0.0,1392.0,1392.0
0346E2DB-A7B1-4343-9542-2A38DF0F1CAF,1.0,111.0,0.0,0.0,0.0,111.0,111.0
98834934-E072-4827-81D1-25C6FD5CDBDC,1.0,1980.0,316.8,0.0,0.0,2296.8,2296.8
7BB1EFA0-AD07-4543-8087-FF5E301FD629,1.0,432.78,67.22,0.0,0.0,500.0,500.0
BDE93932-907B-4B3C-A8FD-01BC87DE4D23,1.0,0.0,0.0,0.0,0.0,0.0,0.0
